month,day,year,time,latitude,longitude,depth,magnitude,magType,place
9,7,1915,01:20:49,14.126,-89.007,15,7.7,mw,"12 km NW of Chalatenango, El Salvador"
11,1,1915,07:23:53,38.66,143.004,30,7.6,mw,"119 km SE of Kamaishi, Japan"
1,1,1916,13:20:48,-4.756,152.626,35,7.96,mw,"60 km SE of Kokopo, Papua New Guinea"
1,13,1916,06:18:35,-3.206,135.699,25,7,mw,"27 km NE of Nabire, Indonesia"
1,13,1916,08:20:47,-3.076,135.676,25,7.66,mw,"36 km NNE of Nabire, Indonesia"
1,24,1916,06:55:13,40.201,37.312,15,7,mw,"18 km W of Do?an?ar, Turkey"
2,1,1916,07:36:31,29.51,131.875,15,7.41,mw,"152 km ESE of Koshima, Japan"
2,6,1916,21:51:35,50.785,179.032,15,7.05,mw,"Rat Islands, Aleutian Islands, Alaska"
2,27,1916,20:21:02,9.451,-87.336,15,7.26,mw,"204 km WSW of Sámara, Costa Rica"
4,7,1916,09:26:07,-31.851,54.766,10,7.15,mw,South Indian Ocean
4,21,1916,11:31:20,33.7,141.759,15,7.01,mw,"208 km SE of Katsuura, Japan"
4,24,1916,08:02:10,10.11,-83.564,15,7.14,mw,"6 km WNW of Siquirres, Costa Rica"
6,21,1916,21:32:42,-27.509,-63.541,600,7.08,mw,"48 km NNW of Suncho Corral, Argentina"
10,31,1916,15:31:01,49.831,157.886,15,7.36,mw,"156 km SE of Severo-Kuril’sk, Russia"
1,30,1917,02:45:40,56.154,163.174,20,7.98,mw,"43 km E of Ust’-Kamchatsk Staryy, Russia"
2,20,1917,19:29:49,19.496,-78.144,15,7.05,mw,"84 km SW of Niquero, Cuba"
5,1,1917,18:26:20,-31.195,-176.653,15,8.2,mw,Kermadec Islands region
5,9,1917,15:54:52,10.913,144.408,15,7.13,mw,"261 km S of Merizo Village, Guam"
5,31,1917,08:47:32,54.995,-159.883,35,7.4,mw,"54 km SE of Sand Point, Alaska"
6,26,1917,05:49:44,-14.996,-173.27,15,8,mw,"120 km NNE of Hihifo, Tonga"
7,4,1917,00:38:27,25.157,126.432,35,7.32,mw,"120 km ENE of Hirara, Japan"
7,29,1917,14:32:23,41.208,143.747,15,7.11,mw,"169 km SE of Shizunai-furukawach?, Japan"
7,29,1917,21:52:31,-3.705,141.729,35,7.45,mw,"93 km SW of Aitape, Papua New Guinea"
8,31,1917,11:36:24,3.792,-73.649,15,7.05,mw,"5 km SE of Castilla La Nueva, Colombia"
11,16,1917,03:19:35,-29.849,-177.839,35,7.5,mw,"Kermadec Islands, New Zealand"
12,29,1917,22:50:39,15.533,-96.755,20,7.18,mw,"31 km S of San Francisco Cozoaltepec, Mexico"
2,13,1918,06:07:16,23.609,117.004,15,7.37,mw,"7 km S of Huanggang, China"
5,20,1918,14:36:06,7.409,-34.906,15,7.26,mw,central Mid-Atlantic Ridge
5,23,1918,11:57:40,27.58,-111.087,10,7.01,mw,"41 km SSW of Heroica Guaymas, Mexico"
7,3,1918,06:52:08,-3.094,143.573,15,7.58,mw,"50 km N of Wewak, Papua New Guinea"
7,8,1918,10:22:08,24.656,90.801,15,7.14,mw,"24 km N of Kishorganj, Bangladesh"
8,15,1918,12:18:24,5.538,123.994,20,8.3,mw,"75 km SSW of Malisbeng, Philippines"
9,7,1918,17:16:27,44.998,152.32,15,8.1,mw,east of the Kuril Islands
10,11,1918,14:14:41,18.7,-67.189,15,7.1,mw,"24 km NNW of San Antonio, Puerto Rico"
10,27,1918,17:06:40,-1.505,149.511,15,7.24,mw,"185 km NW of Kavieng, Papua New Guinea"
11,8,1918,04:38:09,44.83,151.993,15,7.83,mw,east of the Kuril Islands
12,2,1918,09:47:34,11.466,-43.625,10,7.06,mw,northern Mid-Atlantic Ridge
12,4,1918,11:47:51,-26.462,-70.65,40,8.01,mw,"60 km W of Diego de Almagro, Chile"
1,1,1919,01:33:50,6.808,126.526,35,7.21,mw,"22 km ESE of Bobon, Philippines"
1,1,1919,03:00:34,-19.318,-178.08,485,7.8,mw,Fiji region
3,2,1919,03:26:35,-43.814,-78.294,15,7.28,mw,"Off the coast of Los Lagos, Chile"
3,2,1919,11:45:15,-43.038,-71.306,15,7.18,mw,"13 km ENE of Trevelin, Argentina"
4,17,1919,11:22:09,-30.58,-177.991,35,7.18,mw,"Kermadec Islands, New Zealand"
4,30,1919,07:17:16,-18.322,-172.442,25,8.1,mw,"166 km ENE of Neiafu, Tonga"
5,3,1919,00:52:03,40.655,145.626,15,7.71,mw,"277 km SSE of Kushiro, Japan"
5,6,1919,19:41:13,-4.806,153.859,35,8.15,mw,"183 km ESE of Kokopo, Papua New Guinea"
8,29,1919,05:44:03,-3.028,127.391,15,7,mw,"114 km NW of Ambon, Indonesia"
11,18,1919,21:54:41,39.176,27.652,10,7,mw,"3 km ESE of Soma, Turkey"
12,20,1919,20:37:34,22.529,121.787,20,7.4,mw,"122 km ENE of Hengchun, Taiwan"
2,2,1920,11:22:24,-4.967,152.017,35,7.81,mw,"74 km SSW of Kokopo, Papua New Guinea"
6,5,1920,04:21:35,23.688,121.954,20,8.23,mw,"47 km SE of Hualien City, Taiwan"
8,3,1920,19:57:22,-27.475,-67.867,15,7.03,mw,"32 km NW of Fiambalá, Argentina"
9,20,1920,14:39:03,-19.982,168.478,25,8.09,mw,"97 km WSW of Isangel, Vanuatu"
10,18,1920,08:11:40,45.39,149.741,60,7.08,mw,"147 km E of Kuril’sk, Russia"
12,10,1920,04:25:49,-39.102,-73.462,25,7.29,mw,"50 km SSW of Carahue, Chile"
12,16,1920,12:05:52,36.358,105.554,15,7.94,mw,"125 km E of Baiyin, China"
2,4,1921,08:22:40,15.662,-90.791,15,7.11,mw,"32 km NE of Chajul, Guatemala"
2,27,1921,18:23:37,-18.904,-173.037,15,7.39,mw,"103 km ESE of Neiafu, Tonga"
3,28,1921,07:49:28,12.61,-87.216,65,7.2,mw,"7 km SW of El Viejo, Nicaragua"
9,11,1921,04:01:45,-10.046,110.653,15,7.58,mw,"233 km S of Pundong, Indonesia"
10,15,1921,04:58:18,-12.724,166.945,35,7.02,mw,"143 km NNW of Sola, Vanuatu"
11,11,1921,18:36:18,7.452,127.151,15,7.44,mw,"62 km E of Baculin, Philippines"
11,15,1921,20:36:43,36.236,70.674,240,7.8,mw,"71 km SSW of Jurm, Afghanistan"
12,18,1921,15:29:27,-3.918,-71.52,540,7.3,mw,"130 km W of Puerto Nariño, Colombia"
1,17,1922,03:50:28,-2.853,-71.438,475,7.9,mw,"143 km ESE of San Antonio del Estrecho, Peru"
1,31,1922,13:17:31,41.189,-125.608,15,7.41,mw,"123 km W of Big Lagoon, California"
6,12,1922,04:47:43,23.768,-108.5,10,7,mw,"111 km SSW of Altata, Mexico"
9,1,1922,19:16:07,24.364,122,20,7.69,mw,"50 km SSE of Yilan, Taiwan"
10,11,1922,14:49:57,-16.287,-72.705,75,7.21,mw,"35 km N of El Cardo, Peru"
11,11,1922,04:32:51,-28.293,-69.852,70,8.5,mw,"94 km ENE of Vallenar, Chile"
1,22,1923,09:04:21,40.482,-125.034,15,7.12,mw,"66 km W of Ferndale, California"
2,2,1923,05:07:48,53.739,160.813,35,7.27,mw,"163 km ENE of Petropavlovsk-Kamchatsky, Russia"
2,3,1923,16:01:50,54.486,160.472,15,8.4,mw,"121 km ESE of Mil’kovo, Russia"
2,3,1923,18:42:58,54.354,159.656,15,7.3,mw,"77 km ESE of Mil’kovo, Russia"
2,24,1923,07:34:44,55.461,163.241,15,7.38,mw,"97 km SSE of Ust’-Kamchatsk Staryy, Russia"
3,2,1923,16:48:34,7.641,124.873,15,7.18,mw,"5 km NW of Kadingilan, Philippines"
3,24,1923,12:40:17,31.295,100.75,15,7,mw,"184 km NW of Kangding, China"
5,4,1923,16:26:48,55.84,-156.771,25,7,mw,"113 km ESE of Chignik, Alaska"
6,1,1923,17:24:46,35.936,141.501,15,7.22,mw,"64 km ENE of Hasaki, Japan"
6,22,1923,06:44:39,22.817,98.711,25,7.26,mw,"99 km E of Lashio, Myanmar"
7,13,1923,11:13:41,30.93,131.032,35,7.37,mw,"22 km N of Nishinoomote, Japan"
9,1,1923,02:58:35,35.274,139.344,15,7.96,mw,"5 km SSE of ?iso, Japan"
9,2,1923,02:46:41,34.985,139.928,15,7.85,mw,"5 km E of Tateyama, Japan"
10,7,1923,03:29:38,-1.211,129.554,15,7.41,mw,"193 km W of Sorong, Indonesia"
11,5,1923,21:28:03,28.926,130.311,35,7.18,mw,"101 km NE of Naze, Japan"
4,14,1924,16:20:37,6.625,126.167,15,8.12,mw,"6 km E of Tibanbang, Philippines"
5,4,1924,16:51:50,-21.236,-178.738,535,7.1,mw,Fiji region
6,26,1924,01:37:33,-56.191,158.481,10,7.65,mw,Macquarie Island region
7,3,1924,04:40:12,36.981,84.186,10,7.32,mw,"southern Xinjiang, China"
7,11,1924,19:44:46,37.141,83.486,10,7.26,mw,"southern Xinjiang, China"
7,24,1924,04:55:19,-49.382,159.224,15,7.14,mw,north of Macquarie Island
8,14,1924,18:02:40,36.199,141.34,15,7.13,mw,"67 km ENE of Kashima-shi, Japan"
8,30,1924,03:04:59,8.982,126.942,15,7.19,mw,"70 km E of Aras-asan, Philippines"
1,18,1925,12:05:56,47.918,153.743,35,7.24,mw,Kuril Islands
3,22,1925,08:41:58,-18.735,168.57,35,7.18,mw,"113 km SSE of Port-Vila, Vanuatu"
4,11,1925,10:42:07,-34.565,58.728,10,7.04,mw,South Indian Ocean
4,16,1925,19:52:40,21.786,121.096,15,7.13,mw,"43 km ESE of Hengchun, Taiwan"
5,3,1925,17:21:46,1.223,126.303,15,7.13,mw,"129 km WNW of Ternate, Indonesia"
6,9,1925,13:40:22,-4.121,143.515,25,7.04,mw,"61 km W of Angoram, Papua New Guinea"
8,19,1925,12:07:31,55.291,167.198,15,7.02,mw,"Komandorskiye Ostrova, Russia region"
10,13,1925,17:40:38,10.702,-42.279,10,7.11,mw,northern Mid-Atlantic Ridge
11,10,1925,13:50:35,-0.585,130.803,15,7.27,mw,"60 km WNW of Sorong, Indonesia"
11,13,1925,12:14:50,12.734,124.719,20,7.24,mw,"23 km NNW of Bugko, Philippines"
1,25,1926,00:36:25,-10.059,159.281,15,7.48,mw,"62 km SW of Malango, Solomon Islands"
2,8,1926,15:18:01,12.292,-88.801,20,7.13,mw,"113 km SSW of Puerto El Triunfo, El Salvador"
3,27,1926,10:48:38,-8.894,157.462,15,7.1,mw,"110 km SE of Gizo, Solomon Islands"
4,12,1926,08:32:31,-10.358,161.623,15,7.32,mw,"34 km WNW of Kirakira, Solomon Islands"
8,25,1926,05:44:45,-23.098,172.219,20,7.04,mw,southeast of the Loyalty Islands
9,10,1926,10:34:28,-9.169,110.63,35,7.1,mw,"138 km SSE of Pundong, Indonesia"
9,16,1926,17:59:12,-9.531,159.465,15,7.09,mw,"33 km WNW of Malango, Solomon Islands"
10,3,1926,19:38:03,-50.291,159.493,10,7.47,mw,north of Macquarie Island
10,26,1926,03:44:45,-2.885,139.239,35,7.56,mw,"158 km WSW of Abepura, Indonesia"
1,24,1927,01:05:47,-18.284,167.756,30,7.09,mw,"84 km SW of Port-Vila, Vanuatu"
2,16,1927,01:35:26,46.551,153.581,15,7.03,mw,Kuril Islands
3,3,1927,01:05:10,-6.668,122.012,15,7.02,mw,"199 km SSW of Katabu, Indonesia"
3,7,1927,09:27:41,35.559,134.994,10,7,mw,"15 km E of Toyooka, Japan"
5,22,1927,22:32:50,37.666,102.493,15,7.7,mw,"31 km SSW of Wuwei, China"
6,3,1927,07:12:07,-6.763,130.561,35,7.49,mw,"273 km WSW of Tual, Indonesia"
8,5,1927,21:12:57,37.579,142.289,35,7,mw,"114 km E of Namie, Japan"
8,10,1927,11:36:12,-0.599,131.737,15,7.05,mw,"61 km ENE of Sorong, Indonesia"
8,18,1927,19:27:55,34.552,141.489,20,7.01,mw,"125 km ESE of Katsuura, Japan"
10,24,1927,15:59:56,57.711,-136.485,10,7.24,mw,"31 km SSW of Pelican, Alaska"
11,21,1927,23:12:33,-44.861,-72.686,15,7.04,mw,"12 km S of Puerto Cisnes, Chile"
12,28,1927,18:20:32,54.969,160.343,15,7.19,mw,"83 km SSE of Atlasovo, Russia"
3,9,1928,18:05:30,-2.347,88.463,15,7.7,mw,South Indian Ocean
3,16,1928,05:01:05,-22.36,170.395,10,7.56,mw,"274 km ESE of Tadine, New Caledonia"
3,22,1928,04:17:04,16.037,-96.155,15,7.44,mw,"8 km ENE of Santiago Xanica, Mexico"
3,29,1928,05:06:04,31.712,137.946,405,7,mw,"289 km SE of Shing?, Japan"
4,14,1928,09:00:00,42.351,25.641,10,7.1,mw,"9 km S of Stara Zagora, Bulgaria"
4,18,1928,19:22:56,42.351,25.044,10,7.1,mw,"3 km W of Brezovo, Bulgaria"
5,14,1928,22:14:48,-5.449,-78.658,10,7.28,mw,"23 km N of Bellavista, Peru"
5,27,1928,09:50:28,39.875,142.822,35,7.34,mw,"79 km ENE of Miyako, Japan"
6,17,1928,03:19:32,16.065,-96.944,20,7.99,mw,"15 km ESE of San Gabriel Mixtepec, Mexico"
6,21,1928,16:27:18,60.373,-147.291,15,7,mw,"52 km NE of Chenega, Alaska"
6,29,1928,22:49:42,-15.833,170.902,15,7.07,mw,Vanuatu region
7,18,1928,19:05:09,-5.732,-78.982,35,7.09,mw,"15 km SSW of Huabal, Peru"
8,4,1928,18:26:18,15.877,-98.229,20,7.36,mw,"40 km S of Corralero, Mexico"
10,9,1928,03:01:14,16.233,-97.434,25,7.51,mw,"6 km WSW of San Miguel Panixtlahuaca, Mexico"
